"Temperature","Humidity","Wind_speed","Visibility","Dew_point_temperature","Solar_Radiation","Rainfall","Snowfall","Holiday","Functioning_Day","SeasonsAutumn","SeasonsSpring","SeasonsSummer","log_Rented_Bike_Count"
33.9,42,2,1969,19.1,1.25,0,0,0,1,0,0,1,7.79152281915073
36.3,35,3,1860,18.3,0.89,0,0,0,1,0,0,1,7.10085190894405
33.9,53,3.2,1886,22.9,0.94,0,0,0,1,0,0,1,7.78572089653462
34.9,53,2.2,1296,23.8,0.86,0,0,0,1,0,0,1,7.74109909003537
32.2,58,2.5,1553,22.8,0.44,0,0,0,1,0,0,1,7.79028238070348
33.7,62,3.2,1082,25.3,0.87,0,0,0,1,0,0,1,7.6889133368648
36.2,45,2,2000,22.3,0.65,0,0,0,1,0,0,1,7.646353722446
36.7,47,2.5,1803,23.5,0.99,0,0,0,1,0,0,1,7.54009032014532
33.2,52,3.7,1986,22,1.14,0,0,0,1,0,0,1,6.95177216439891
34.5,45,2,2000,20.8,1,0,0,0,1,0,0,1,7.75233516330229
28.1,86,2.3,1244,25.5,0.28,0.5,0,0,1,0,0,1,7.5234813125735
34.4,40,1.8,2000,18.8,0.65,0,0,0,1,0,0,1,7.15070145759253
33.7,53,2.4,2000,22.7,0.78,0,0,0,1,0,0,1,7.743269700829
32.8,63,2.3,1546,24.8,0.89,0.1,0,1,1,0,0,1,6.83087423464618
32.4,40,2.1,2000,17,1.04,0,0,0,1,0,0,1,7.81681996576455
23.8,95,2.7,1938,22.9,0.11,1.5,0,0,1,0,0,1,6.82110747225646
27.1,56,3,1987,17.5,0.87,0,0,0,1,0,0,1,7.64060382639363
23.4,67,0.6,2000,16.9,0.36,0,0,0,1,0,0,1,7.29979736675816
23.9,96,0.2,991,23.2,0,1.5,0,0,1,0,0,1,4.06044301054642
26.1,72,2.4,1066,20.6,0.19,0,0,0,1,0,0,1,7.54327334670545
28.4,57,2.4,2000,19,0.84,0,0,0,1,0,0,1,7.95050243480885
26.8,53,2.6,2000,16.4,0.8,0,0,0,1,1,0,0,8.06054004653864
27,45,2.4,2000,14,0.77,0,0,0,1,1,0,0,8.05864371221562
25.7,38,1.5,2000,10.3,0.64,0,0,0,1,1,0,0,7.72134861261795
26,35,0.3,2000,9.3,0.2,0,0,0,1,1,0,0,7.77022320415879
25.9,42,1.1,2000,11.9,0.48,0,0,0,1,1,0,0,8.10137467122858
24.7,45,0.7,2000,11.9,0.3,0,0,0,1,1,0,0,8.07806788181544
27,44,1.4,2000,13.6,0.62,0,0,0,1,1,0,0,8.08856180527623
26.7,56,1.8,2000,17.1,0.47,0,0,0,1,1,0,0,8.05420489706441
25.7,57,1.5,2000,16.5,0.24,0,0,0,1,1,0,0,7.94697135769359
24.2,76,1.2,2000,19.6,0.12,0,0,0,1,1,0,0,7.35691824235602
25.3,56,2.8,1992,15.8,0.54,0,0,0,1,1,0,0,8.09498875930377
24.8,48,1.4,2000,13,0.51,0,0,0,0,1,0,0,0
24,55,2.2,1691,14.3,0.12,0,0,0,0,1,0,0,0
20.3,35,2.4,2000,4.3,0.46,0,0,1,1,1,0,0,7.12125245324454
21.6,37,1,2000,6.2,0.24,0,0,1,1,1,0,0,7.5422134631934
20.4,56,1.7,2000,11.3,0.2,0,0,0,0,1,0,0,0
21.5,43,1.8,2000,8.3,0.26,0,0,1,1,1,0,0,7.71244383427499
23.1,48,1.3,2000,11.4,0.2,0,0,0,0,1,0,0,0
16.7,96,1.6,1461,16,0.03,1,0,0,1,1,0,0,4.31748811353631
17.9,29,2.8,2000,-0.4,0.16,0,0,0,1,1,0,0,7.63530388625941
18.1,39,1,2000,3.9,0.21,0,0,0,1,1,0,0,7.93307977188041
12.2,45,3.1,2000,0.5,0.16,0,0,0,1,1,0,0,7.83002808253384
12.1,40,2.4,1854,-1.1,0.18,0,0,0,1,1,0,0,7.77443551030296
16.2,58,2.4,1991,7.9,0.12,0,0,0,1,1,0,0,7.41637847919293
18,66,2.3,554,11.5,0.1,0,0,0,1,1,0,0,7.8770178956224
15.7,45,2.5,2000,3.7,0.06,0,0,0,1,1,0,0,7.82404601085629
16.6,40,2.4,2000,2.9,0.11,0,0,0,1,1,0,0,7.87549929244521
16.2,41,1.4,1907,2.9,0.06,0,0,0,1,1,0,0,7.38956395367764
17.3,43,0.9,783,4.5,0.08,0,0,0,1,1,0,0,7.86863689418417
15.1,53,1.7,2000,5.5,0.06,0,0,0,1,1,0,0,7.86825426552061
17.3,39,1.3,1641,3.1,0.03,0,0,0,1,1,0,0,7.87587915949631
8.9,85,1.8,2000,6.5,0.01,0,0,0,1,1,0,0,6.48004456192665
9.4,48,2,2000,-1,0.03,0,0,0,1,1,0,0,7.64730883235624
14,71,1.5,201,8.8,0.01,0,0,0,0,1,0,0,0
14.4,77,1,912,10.4,0,0,0,0,1,1,0,0,7.20637729147225
12.3,69,2.1,623,6.7,0.01,0,0,0,0,1,0,0,0
8.9,55,2,1333,0.3,0,0,0,0,1,1,0,0,6.62406522779989
11.3,42,1.2,1846,-1.1,0.01,0,0,0,1,1,0,0,7.67786350067821
12.2,47,2.6,1427,1.2,0.01,0,0,0,1,1,0,0,7.69666708152646
9.9,74,2.6,492,5.4,0,0,0,0,1,1,0,0,7.57916796739608
7.5,48,2.4,1079,-2.8,0,0,0,0,1,1,0,0,7.5522372875608
3.9,23,1,2000,-15.4,0,0,0,0,1,1,0,0,7.34536484041687
2.6,86,1.1,834,0.4,0,0,3.5,0,1,1,0,0,6.05678401322862
9.5,56,0.5,628,1.1,0,0,0,0,1,1,0,0,7.44366368311559
10.2,74,1.2,289,5.7,0,0,0,0,1,1,0,0,7.33888813383888
0,46,0.9,1566,-4.8,0,0,0,0,1,1,0,0,7.36391350140582
4.7,34,1.9,1661,-9.8,0,0,0,0,1,1,0,0,7.23345541862144
